Concept_ID	Concepts_and_Synonyms
C4021237_T047	nuclear pulverulent cataract|central pulverulent cataract|pulverulent nuclear cataract
C3665439_T020	total cataract|Cataract, complete|cataract mature|Cataract, total|mature cataract
D00000496_T777	normal immunoglobulin level
C1855755_T033	abnormal serum immunoglobulin levels|Abnormal immunoglobulin levels|immunoglobulin abnormality
C2748561_T033	normal serum immunoglobulin levels
P00000028_T888	elevated immunoglobulin levels|hypergammaglobulin
C0020455_T047	hypergammaglobulinaemia|hypergammaglobulinemia|Hypergammaglobulinemias|Hyperimmunoglobulinemia|Hyperimmunoglobulinemias
C1306857_T033	hyperglobulinemia|hyperglobulinaemia
D00000497_T777	globulinemia
C0151669_T033	increased gamma globulin|gamma globulins increased
C0541985_T033	increased serum gamma globulin|Increased serum gamma-globulin
P00000029_T888	raised immunoglobulin levels
C4023721_T190	abnormal hair pattern
D00000498_T777	normal hair pattern|normal distribution of hair
C1168239_T033	asymmetric ears
D00000499_T777	symmetric ears
C2216370_T033	cherry red spot of the macula|macular cherry red spot
C4023716_T033	eyelid nodules
M00004186_T019;M00004186_T047	fibrous dysplasia of the bones|Bone Fibrous Dysplasia|fibrous dysplasia bone|fibrous dysplasia of bone|osteitis fibrosa|polyostotic fibrous dysplasia|PFD|Polyostotic fibrous dysplasia of bone
D00000500_T777	ostotic fibrous dysplasia|ostotic fibrous dysplasia
C0016064_T047	monostotic fibrous dysplasia|Fibrous Dysplasia, Monostotic
C0029455_T047	osteopoikilosis
C0265513_T019	osteopathia striata
M00001948_T046;M00001948_T033	edema of the lower limbs|edema lower extremity|edema of lower extremities|edema of lower extremity|Edema of lower limb|lower extremities edema|lower extremity edema|lower limb edema|lower limb oedema|oedema of lower limb|leg edema|edema leg|edema of legs|leg oedema|legs edema|legs oedema|oedema leg|of leg edema
C0522035_T046	edema of the upper limbs|arm edema|edema arm|Edema of arm|Edema of the upper extremity|Oedema of the upper extremity
M00004693_T033	short metatarsal|shortened metatarsals|short metatarsal bones|short metatarsals
C0005742_T047	blepharochalasis
D00000501_T777	eyelid skin
M00001176_T033;M00001176_T190	chin dimple|chin dimples|cleft chin
C0685786_T033	cleft mandible|mandibular cleft
C4023714_T190	midline cleft of mandible
C1865318_T190	abnormality of the temporomandibular joint|Temporomandibular joint abnormalities
C0266941_T047	derangement of the temporomandibular joint|Derangement of temporomandibular joint
C0399519_T033	asymmetry of the maxilla|deviation of the maxilla|Maxillary asymmetry
D00000502_T777	symmetry of the maxilla
C4023712_T190	missing premaxilla
D00000503_T777	missing maxilla
D00000504_T777	anterior position of the maxilla
C3553754_T019	absent toe|absent toes
C1851059_T033	broad columella|Wide columella
M00001197_T191	chordoma|CHDM|CHORDOMA, MALIGNANT|chordomas
C2748682_T033	short eyelashes
C4023710_T047	palmar hyperkeratosis
C0240641_T033	palmar keratosis
C3806226_T033	ectopic calcification
C0031925_T190	pilonidal sinus|pilonidal cyst|pilonidal cysts|pilonidal fistula
C3537055_T046	pilonidal abscess
C0158634_T019	partial anomalous pulmonary venous return|partial anomalous pulmonary venous connection
C0009995_T019	cor triatriatum|Accessory atrium|Cor Triatriatum Sinistrum|Subdivided Left Atrium|triatrial heart
D00000505_T777	triatriatum
C0221214_T019	vascular ring|vascular rings|vascular sling
C4023706_T190	bronchomegaly
C4023705_T033	tracheomegaly
C4019074_T033	large pelvis
C0034880_T184	hyperacusis|hyperacusia|loudness recruitment|Recruitment, Loudness
C0578531_T033	skin dimples|skin dimple
M00004486_T033;M00004486_T047	erythema|Erythema of skin|erythemas|erythematous condition|erythematous conditions|Injection|Redness|redness of skin|redness skin|Red skin|skin erythema|SKIN RED|skin redness
C0042138_T191	uterine neoplasm|Neoplasm of the Uterus|Neoplasm of uterus|Neoplasms, Uterine|Neoplasm, Uterine|NEOPLASM UTERINE|Tumor of the Uterus|tumor of uterus|tumors uterus|tumor uterus|tumour of uterus|uterine neoplasia|uterine neoplasms|uterine tumor|uterus tumor|Uterus--Tumors
C0153567_T191	uterine cancer|cancer of the uterus|Cancer of uterus|Cancers, Uterine|Cancer, Uterine|Cancer, Uterus|Malignant Neoplasm of the Uterus|malignant neoplasm of uterus|Malignant Tumor of the Uterus|Malignant Uterine Tumor|uterine cancers|uterus cancer|Uterus--Cancer|Uterus Cancers
C4021228_T191	gonadal neoplasm|gonadal neoplasia
C0042076_T191	urinary tract neoplasm|Neoplasm of the Urinary Tract|Tumor of the Urinary System|Tumor of the Urinary Tract|Tumor of Urinary System|urinary tract neoplasia|Urinary Tract Neoplasms|urinary tract tumor|Urological Neoplasm|Urological Neoplasms|urologic neoplasm|Urologic Neoplasms
C0679347_T191	genital neoplasm|genital neoplasms|genital tumor
C4020767_T191	genital neoplasia
C0039590_T191	testicular neoplasm|Neoplasm of the Testis|neoplasms testicular|Neoplasms, Testicular|testicular neoplasia|testicular neoplasms|testicular tumor|testicular tumors|testicular tumour|testicular tumours|testis neoplasm|Testis Neoplasms|testis tumor|testis tumors|Tumor of testis|Tumor of the Testis|tumor testicular|tumor testis|Tumour of testis
M00005017_T191	testicular cancer|Malignant Germ Cell Tumor of the Testis|Malignant Testicular Germ Cell Tumor|Testicular Germ Cell Cancer
M00002175_T047;M00002175_T033	hyperplasia of the leydig cells|Interstitial cell hyperplasia|Leydig cell hyperplasia
C4023701_T033	impaired visuospatial constructive cognition
C4023700_T191	cerebellar glioma
C0677865_T191	brainstem glioma|brain glioma stem|brain stem glioma|Diffuse brainstem glioma|Glioma of the Brainstem
M00000403_T191	hemangioblastoma|angioblastoma|Capillary Hemangioblastoma|haemangioblastoma|hemangioblastomas|tufted angioma|angioblastoma of nakagawa|hypertrophic hemangioma|progressive capillary hemangioma|tufted hemangioma
D00000506_T777	hemangioblast|haemangioblast
M00004225_T191	pinealoma|Pineal Neoplasm|Pineal Region Neoplasm|pineal region tumor|Pineal Tumor|Tumor of Pineal Region|Tumor of the Pineal Region|pineal parenchymal tumor|Neoplasm of the Pineal Gland|pineal gland tumor|PINEAL GLAND, TUMOR|Pineal gland--Tumors|Pineal Gland Tumors|pineal gland tumour|Pineal Neoplasms|Pinealomas|Pineal Parenchymal Neoplasm|Pineal Parenchymal Tumors|pineal parenchymal tumour|pineal region tumors|pineal tumors|Pineal tumour|Tumor of the Pineal Gland|Tumor, Pineal|Tumors, Pineal|Tumors, Pineal Parenchymal
C0729870_T047	pineal
D00000507_T777	perioral pigmentation
D00000484_T777	oral hyperpigmentation
C4023698_T033	everted upper lip
C3275452_T033	protruding upper lip
C1839767_T033	inverted v-shaped upper lip
C1853383_T033	tented mouth
M00005012_T033	tented upper lip
C3553471_T033	upturned mouth
M00002277_T184;M00002277_T033	carp-like mouth|carp-shaped mouth|fish mouth
C0266061_T019	open bite|apertognathia|Bite, Open|bite opening|bites open|Nonocclusion|openbite
C0241442_T033	protruding tongue|lingual prominence|lingual protrusion|prominent tongue|protrusion of tongue|PROTRUSION TONGUE|tongue protrusion
C3693299_T033	wide uvula
C4023697_T033	long uvula|elongated uvula
M00002049_T191;M00002049_T047	nevus sebaceous|Epidermal naevus syndrome|Epidermal nevus syndrome|Jadassohn Nevus Phakomatosis|JNP|linear naevus sebaceous|linear nevus sebaceous|Linear sebaceous naevus|Linear sebaceous naevus syndrome|linear sebaceous nevus|Linear sebaceous nevus syndrome|naevus sebaceous|Naevus sebaceous of Jadassohn|Naevus sebaceus of Jadassohn|nevus sebaceous of jadassohn|Nevus, Sebaceous of Jadassohn|Nevus sebaceus of Jadassohn|Organoid naevus|organoid nevus|SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME|sebaceous naevus|sebaceous nevus|sebaceous nevus of jadassohn|SFM|SFM SYNDROME
M00002063_T047	epidermal nevus|epidermal naevus|epidermal nevi|Epithelial nevus|nevus epidermal|Nevus, Epidermal
C0206737_T191	dermal nevus|Cellular naevus|Cellular nevus|Dermal naevus|Intradermal melanocytic naevus|intradermal melanocytic nevus|intradermal naevus|intradermal nevi|intradermal nevus|Nevi, Intradermal|Nevus, Intradermal
D00000508_T777	dermal nevi
C1836508_T033	generalized tonic seizures|hypertonic seizures
C0270844_T184	tonic seizures|tonic seizures|convulsions tonic|Convulsion, Tonic|seizures tonic|Seizures, tonic|Seizure, Tonic|Tonic Convulsion|tonic seizure
M00001861_T184;M00001861_T047	atonic seizures|astatic seizure|astatic seizures|atonic seizure|drop attacks|drop seizures|Seizures, atonic
C4476550_T033	sudden loss of muscle tone
C4023693_T047	dacrystic seizures
C0270820_T047	gelastic seizures|Gelastic epilepsy|gelastic seizure
C0235068_T184	scintillating scotoma|Fortification spectra|scintillating scotomas|teichopsia
C4021223_T190	abnormality of the facial nerve
C0278152_T033	hemifacial spasm|Facial hemispasm|hemifacial spasms|Unilateral Facial Spasm|Unilateral Facial Spasms
M00002140_T033;M00002140_T047	facial spasm|facial muscle spasm|facial muscle spasms|facial muscles spasm|facial spasms|facial spasms|facial tics|facial tic
C4021222_T033	impaired temperature sensation|loss of temperature sensation
C4021221_T033	impaired tactile sensation|impaired touch sensation|loss of tactile sensation
C1856691_T033	impaired proprioception
C4023690_T184	spontaneous pain sensation
C4021220_T033	trophic changes
C0278136_T033	dissociated sensory loss
D00000509_T777	normal copper levels
M00002740_T033;M00002740_T047	decreased serum ceruloplasmin|hypoceruloplasminaemia|hypoceruloplasminemia|SERUM CERULOPLASMIN DECREASED|aceruloplasminaemia|aceruloplasminemia|Ceruloplasmin deficiency|Deficiency of ceruloplasmin
C4021219_T033	multifocal epileptiform discharges
C1969156_T033	eeg with burst suppression|Burst suppression on EEG
C4021212_T033	eeg: periodic complexes
C0233286_T033	frank breech presentation|extended breech|frank breech
C0233283_T033	complete breech presentation|Complete breech|Flexed breech
C0426146_T033	incomplete breech presentation|Incomplete breech
C0454642_T048	receptive language delay
M00003451_T048;M00003451_T033	intellectual disability, severe|mental retardation, severe|Severe intellectual disabilities|Severe mental handicap|severe mental retardation|Severe mental subnormality
C0029121_T048	oppositional defiant disorder|disorder oppositional defiant
D00000510_T777	opposition defiant disorder
C0238577_T019	abdominal wall defect|abdominal wall defects|congenital anterior abdominal wall defect
D00000511_T777	synergia|synergia
C0234355_T184	asynergia
C0240991_T184	sensory ataxia|ataxia, sensory|Sensory Ataxias
D00000512_T777	sensor ataxia
C0037921_T047	afferent ataxia|spinal ataxia
C0520888_T033	t-wave inversion|inverted t|inverted t wave|inverted t waves|negative t wave|T INVERTED|t wave inversion
C0742191_T047	cervical spinal cord atrophy
C0221253_T047	tendon xanthomatosis|Tendinous xanthoma|tendon xanthoma|tendon xanthomas|Xanthoma tendinosum
C1531651_T033	chaddock reflex|Chaddocks sign
C4023678_T033	unilateral strabismus
C0948242_T019	fetal cystic hygroma|FCH
C4023676_T033	increased nuchal translucency
C0266785_T190	abnormality of the umbilical cord|abnormal umbilical cord|umbilical cord abnormalities|umbilical cord abnormality|umbilical cord anomalies
C0265843_T019	aortic valve atresia|aortic atresia
C4023675_T019	acromelia
M00000590_T046	aseptic necrosis|avascular necrosis|ischemic bone necrosis|AVN|Ischaemic necrosis|Ischemic necrosis|NECROSIS ISCHEMIC
C0036688_T047	septic necrosis|necrosis septic
C0520474_T046	aseptic bone necrosis|aseptic necrosis of bone|Bone Aseptic Necrosis
D00000513_T777	vascular necrosis
C0877326_T046	bone infarction|bone infarct|bone infarcts
C0029445_T046	osteochondronecrosis|Bone Necroses|bone necrosis|Necroses, Bone|Necrosis, Bone|NECROSIS BONE|necrosis of bone|Osteonecroses|osteonecrosis
C0022682_T047	avascular necrosis of lunate|kienbock disease|kienbocks disease|Kienb??cks disease|Kienboecks disease|lunatomalacia
M00003962_T047	osgood schlatter disease|osgood-schlatter disease|osgood schlatters disease|osgood-schlatters disease|osteochondrosis|Juvenile osteochondritis|juvenile osteochondrosis
M00004796_T047	morbus scheuermann|Adolescent Kyphosis|disease scheuermanns|juvenile kyphosis|Kyphosis, Scheuermanns|scheuermann disease|Scheuermann Juvenile Kyphosis|scheuermann kyphosis|scheuermanns disease|scheuermanns kyphosis|scheurmanns disease|SPINAL OSTEOCHONDROSIS|vertebral epiphysitis
C0268563_T047	hypersarcosinemia|SARCOS|Sarcosinaemia|sarcosinemia
C4023665_T033	abnormality of methionine metabolism
C0220992_T047	histidinemia|histidinemia|Deficiency of histidase|HIS DEFICIENCY|Histidase deficiency|Histidinaemia
C0268573_T047	hypervalinemia
C0268576_T047	hyperleucinemia|Leucine sensitivity|Leucinosis
D00000514_T777	leucinemia
D00000515_T777	isoleucinemia
C4023653_T033	abnormality of tyrosine metabolism
C1392104_T019	coralliform cataract
C0524524_T047	membranous cataract|Membranous Cataracts|Pseudoaphakia
C1112768_T047	anterior subcapsular cataract
D00000516_T777	anterior capsular cataract
C4023650_T033	posterior cortical cataract
C1861832_T033	aculeiform cataract|CACA
C4020762_T033	abnormal nucleoside levels
C0220988_T047	xanthinuria|Hereditary xanthinuria
C4023641_T190	abnormality of the upper urinary tract
C4023640_T190	abnormality of the lower urinary tract
C2164724_T033	deformity of the external nose
C0339851_T033	absence of the nasal bone|Absence of nasal bones
C0339850_T019	agenesis of the nasal bone
C4023634_T033	echogenic intracardiac focus
D00000517_T777	echogenic cardiac focus
C2936423_T019	echogenic fetal bowel|echogenic bowel|Echogenic Bowels|Hyperechogenic Bowel
M00001773_T033;M00001773_T047	fetal pyelectasis|fetal renal pelvic dilatation|mild fetal hydronephrosis|Pyelectasis
C1868864_T047	dilatation of the renal pelvis
C4023628_T190	mild fetal ventriculomegaly
C0265856_T047	hypoplastic right heart
C0344963_T047	hypoplastic right heart syndrome|Pseudotruncus arteriosus
C0549253_T033	dilatation of the bladder|Bladder dilatation
C2931117_T047	fetal megacystis
M00004294_T019;M00004294_T033	posterior urethral valve|Congenital posterior urethral valves|posterior urethral valves
M00001408_T019	congenital cystic adenomatoid malformation of the lung|ccam|Congenital Cystic Adenomatoid Malformation|Congenital cystic adenomatoid malformation of lung|congenital cystic disease of the lung|Congenital pulmonary airway malformation|Cystic Adenomatoid Malformation of Lung|congenital cystic lung|Congenital cystic lung disease|congenital lung cyst|congenital lung cysts
C0006288_T019	bronchopulmonary sequestration|Bronchopulmonary Sequestrations|lung sequestration|LUNG, SEQUESTRATION|pulmonary sequestration|pulmonary sequestration|pulmonary sequestrations|Sequestration, Bronchopulmonary|sequestration lung|sequestration pulmonary|Sequestration, Pulmonary
C4023627_T019	intralobar sequestration
D00000518_T777	lobar sequestration|lobar sequestration
C4023626_T019	extralobar sequestration
D00000519_T777	anemia, erythropoietic
C0392708_T046	defective erythropoiesis|ineffective erythropoiesis
C0678199_T047	dyserythropoietic anemia
C1873504_T033	normal number of b cells
C1859623_T033	normal numbers of b cells|Normal B cell numbers
C1855067_T033	b lymphocytopenia|low b cell count|reduction in b cell number|b cell lymphopenia
C0020476_T047	hyperlipoproteinemia|hyperlipoproteinaemia|hyperlipoproteinaemias|hyperlipoproteinemias
D00000520_T777	hyperlipoprotein
D00000521_T777	lipoproteinemia
M00003139_T033;M00003139_T047	hypolipoproteinemia|deficiency lipoprotein|Hypolipoproteinaemia|Hypolipoproteinemias|lipoprotein deficiencies|lipoprotein deficiency
P00000078_T888	polygenic inheritance
P00000079_T888	oligogenic inheritance
P00000080_T888	digenic inheritance
M00004897_T047	stress urinary incontinence|genuine stress incontinence|incontinence stress|Incontinence - stress|incontinence stress urinary|incontinence urinary stress|Incontinence, Urinary Stress|stress incontinence|Stress incontinence - symptom|Stress incontinence (& symptom)|Stress Incontinence, Urinary|Urinary Incontinence, Stress|urinary stress incontinence
C4023607_T190	abnormality of the striatum|abnormality of the striatum
C4021206_T046	increased cellular radiosensitivity|radiation-induced chromosome instability
M00002852_T047;M00002852_T033	increased bone mineral density|increased bone density|Osteoscleroses|osteosclerosis|bone density increased|bone density increasing
M00000289_T047	osteopetrosis|albers-schonberg disease|Albers Schonberg Disease|Albers-Sch??nberg disease|Albers Sch??nberg Disease|bones thickening|bone thickening|congenital osteopetrosis|Ivory bones|marble bone|marble bone disease|marble bones|osteopetroses|Autosomal Dominant Osteopetrosis|Autosomal Dominant Osteopetrosis Type 2|Benign Osteopetrosis
C0271183_T047	high myopia|severe myopia
M00001393_T190;M00001393_T019	arterial abnormalities|ARTERIAL ABNORMALITY|ARTERIAL ANOMALY|arterial malformation|arterial malformations|artery malformation|Congenital arterial malformation
C1392669_T047	mixed cirrhosis
P00000081_T888	temporal pattern|speed of onset
P00000082_T888	acute onset
C4023598_T033	abnormal glucose homeostasis
D00000522_T777	normal glucose homeostasis
C4023594_T049	abnormality of the cell cycle
C4023588_T190	abnormality of the gastrointestinal tract
M00001767_T047	digestive system disease|Digestive Disease|Digestive System Disorder|digestive tract disease|disease gastrointestinal|Disease, Gastrointestinal|disease gastrointestinal tract|disease of gastrointestinal tract|diseases gastrointestinal|Diseases, Gastrointestinal|diseases gastrointestinal tract|DISORDER GASTROINTESTINAL|Disorder of gastrointestinal tract|disorders gastro intestinal|disorders gastrointestinal|disorders gastrointestinal tract|gastroenteropathy|gastrointestinal disease|gastrointestinal diseases|gastro-intestinal disorder|gastrointestinal disorder|gastrointestinal disorders|Gastrointestinal System Disease|gastrointestinal tract disorders|GIT diseases
C4020760_T047	blood circulation disorder
C1390214_T046	internal hemorrhage|internal bleeding
M00002291_T033;M00002291_T046	fluid imbalance|disorders fluid|fluid disorder|fluid imbalances|VOLUME DISORDER
M00000363_T047;M00000363_T046;M00000363_T033	amyloidosis|amyloid|amyloid disease|amyloid diseases|amyloidoses|amyloid degeneration|amyloid deposition|Hyaloid degeneration
M00001625_T047;M00001625_T033	decreased urine output|Urine output decreased|oliguria|Decreased urine volume|low urine output|oligouria|Urine output low
D00000523_T777	normal helices|helix normal
C4280351_T033	absence of premolar|missing premolar
C4280348_T033	absence of molar|absence of molar|missing molar|missing molar
D00000524_T777	missing maxillary molar
C4021203_T190	absent molars
C4280346_T033	missing first permanent molar
C4023560_T047	generalized periodontitis|generalized periodontal disease
C4023559_T047	localized periodontitis|localized periodontal disease
C0011430_T047	dentin dysplasia|dentinal dysplasia|Dentin Dysplasias|Dentine dysplasia
C1856136_T033	peg shaped incisors|peg-shaped incisors
C0266030_T047	mesiodens|mesiodentes
M00004944_T033;M00004944_T019	extra tooth|extra teeth|hyperdontia|increased number of teeth|supernumerary teeth|supernumerary tooth|supplemental teeth|Supplemental tooth|Teeth, Supernumerary
D00000525_T777	tooth in the midline
M00003798_T191	odontoma|odontomas|Fibroodontoma|Fibro Odontoma|Fibro-Odontoma|Fibroodontomas|Fibro-Odontomas
D00000526_T777	numerary tooth
M00004586_T047;M00004586_T033	rootless teeth|absence of tooth root
C4023549_T033	green teeth
C4023544_T033	large incisor
C4280266_T033	soft teeth
C0399357_T190	talon cusp|talon cusps
C0266034_T190	dens evaginatus
C0011320_T019	dens in dente|dens invaginatus|in Dente, Dens|Invaginated odontome|tooth within a tooth
C0016873_T019	double tooth|conjoined teeth|Double teeth|fused teeth|fusion of teeth|joined teeth|Teeth, Fused|teeth fusion
C0266033_T019	gemination
C0266024_T019	mulberry molar|Moons molars|mulberry molars
C1305740_T190	overbite|brachygnathia|Brachygnathism|deep bite|Deep-Bite|Deep Bites|Deep-Bites|Over Bite|overbites|Receding jaw
C0266063_T047	deep overbite|Excessive overbite|Increased overbite
C0266067_T019	scissors bite|bite scissors|Scissor bite
C0596028_T190	overjet|Dental Overjet|Horizontal overbite|Overjet, Dental|protrusion of the maxillary incisors
M00001698_T046;M00001698_T033	peripheral demyelination|demyelination
D00000527_T777	myelination
C0264611_T047	speech apraxia|Apraxia of phonation|apraxia of speech|apraxia speech
C0349391_T048	verbal dyspraxia|verbal apraxia
C0154694_T047	spastic hemiparesis|Hemiplegia, Spastic|spastic hemiplegia
M00000540_T019;M00000540_T033	ileal atresia|Congenital Ileal Atresia
C0344916_T019	abnormality of the left ventricular outflow tract
C0546817_T046	hypervolemia|excess fluids|excess fluid volume|fluid excess|fluid overload|fluids overload|fluid volume excess|hypervolaemia|volume excess|volume overload
C0546884_T033	hypovolemia|depleted blood volume|depletion volume|Fluid depletion|fluid volume deficit|Fluid volume depletion|hypovolaemia|Hypovolemias|oligemia|Sodium and water depletion|volume depletion|volume depletion disorder
M00004472_T047	recurrent aphthous stomatitis|buccal aphthous ulcers|Recurrent aphthous ulceration|Recurrent aphthous ulcer|recurrent mouth ulcers|Recurrent oral aphthae|Recurrent ulcerative stomatitis
M00000461_T047	aphthous stomatitis|Minor aphthous ulceration|ulcerative stomatitis|aphthous ulcers|aphtha|aphthae|Aphthosis|aphthous oral ulcers|aphthous ulceration|aphthous ulcerations|aphthous ulcer|canker sore|canker sores|oral aphthae|oral aphthous ulcer|oral aphthous ulcers|Stomatitis, Aphthous|STOMATITIS APHTHOUS|Ulcers, Aphthous
C0581354_T047	recurrent sinusitis|sinusitis, recurrent
D00000528_T777	recurrent sinus|current sinusitis|sinusitis, current
C4280333_T047	recurrent sinus disease
D00000529_T777	chronic sinus
C0748720_T047	chronic sinus disease
M00005062_T047	tonsillitis|inflammation of tonsils|tonsil inflammation|acute tonsillitis|infective tonsillitis|Tonsillitis (& acute)|Tonsillitis acute|TONSILLITIS, ACUTE
C0264169_T033	saddle nose|Saddle back nose|saddle nose deformity
D00000530_T777	normal skin morphology|normal skin structure
M00001716_T047	dermatitis|dermatitides|inflammation of skin|Inflammation of the Skin|skin inflammation|Skin--Inflammation|inflammatory skin disease|Inflammatory dermatosis
M00002290_T019;M00002290_T047	nephroptosis|floating kidney|Kidney:|mobile kidney|renal ptosis
C1396126_T047	perioral eczema
C4023524_T046	acute esophageal necrosis
C1334928_T033	necrosis|Necrotic Change|Necrotic changes
C0240705_T033	perianal rash
C4023521_T047	chronic furunculosis
C4021850_T033	increased sensitivity to ionizing radiation|increased sensitivity to ionising radiation
C0239574_T033	low-grade fever|fever low grade|FEVER, LOW GRADE|low grade fever|Low grade pyrexia|mild fever|Mild pyrexia
C2677485_T033	lack of sweat glands
C4023519_T047	non-pruritic urticaria
C4021201_T190	gastric duplication|gastric duplication cyst
C0266019_T019	gastrointestinal duplication
C1832423_T046	age-related nuclear cataract|Nuclear Sclerosis of the Lens
C2880562_T020	age-related cortical cataract
C4023516_T184	symptomatic seizures
C4023515_T047	dialeptic seizures
C4023512_T047	myoclonic absences
C4023511_T047	obtundation status
C4023510_T047	early onset absence seizures
C0016399_T047	focal motor seizures|Focal Motor Epilepsy|focal motor seizure|Partial Motor Seizure|partial motor seizures|Seizures, Focal Motor
C0236018_T033	auras|aura
M00002499_T047	as|angelmans syndrome|angelman syndrome|happy puppet syndrome|puppet children|syndrome angelman|Syndrome, Angelman
C1838063_T033	auditory auras|Auditory aura
C4023506_T046	epigastric auras|abdominal aura
C4023504_T033	olfactory auras
C4023503_T033	psychic auras
C4023502_T033	somatosensory auras
C4021200_T046	autonomic auras
C1850765_T047	visual auras|auras visual|aura visual|visual aura
C4023501_T047	focal myoclonic seizures
C0752324_T047	focal tonic seizures
C0751349_T047	eyelid myoclonias|blepharoclonus|eyelid myoclonia|eyelid myoclonus
C4023499_T047	generalized clonic seizures
M00001852_T047	myoclonic atonic seizures|Doose syndrome|Epilepsy, Myoclonic Astatic|Myoclonic Astatic Epilepsies|Myoclonic astatic epilepsy|Myoclonic-atonic seizures
D00000531_T777	myoclonic tonic seizures
C0149886_T047	simple febrile seizures|simple febrile convulsion|Simple febrile seizure
C0751057_T047	complex febrile seizures|Complex febrile convulsion|Complex febrile convulsions|Complex febrile seizure
C4023497_T047	hyperkinetic seizures
C0422846_T047	versive seizures|Seizure, Versive|Versive seizure
C4023494_T033	alpha-eeg
C4023493_T033	beta-eeg
C1851759_T033	low voltage eeg|EEG, LOW-VOLTAGE
C4023491_T033	epileptiform eeg discharges
C4021199_T033	focal eeg abnormality
C4023481_T033	eeg with focal spikes
C4021198_T033	flat line eeg
C4023460_T033	hemihypsarrhythmia
D00000532_T777	abnormal shape of the head|dysmorphic head
C4023457_T190	short face
M00004343_T033	prominent forehead|protruding forehead
D00000533_T777	prominent head|pronounced head|protruding head
M00000899_T033	bulging forehead
C0266574_T019	ablepharon|Ablepharia|Absence of eyelid|absent eyelids|eyes open|Lid Gap|Open eye
C0344503_T019	epiblepharon|Congenital epiblepharon
C4023452_T033	elevated c-reactive protein level
M00001968_T033	elevated crp|crp elevated|Elevated C-reactive protein|Increased C-reactive protein
M00004894_T033	straight eyebrows
C1856121_T033	broad eyebrows|flared eyebrows
C4023450_T033	prominent eyelashes
C1835802_T033	thick eyelashes
C4023449_T033	infra-orbital fold|infraorbital fold|Infraorbital folds|dennie-morgan fold
D00000534_T777	orbital fold
C2315717_T019	cryptotia|buried ear
C4023440_T190	cleft earlobe
C4021174_T190	third-degree microtia
C0221278_T033	anisocytosis
D00000535_T777	cytosis|cytosis
C4023438_T033	recurrent mycobacterial infections
C4023436_T019	intrapulmonary sequestration
C0085758_T019	total colonic aganglionosis|Colonic Aganglionosis|TCA
D00000536_T777	total colon aganglionosis
C3550704_T190	digital anomalies
M00000093_T019;M00000093_T033	absent foot|Missing foot
M00000874_T033	broad thumb|broad thumbs
C4021168_T033	narrow toe
C4023420_T190	sydney crease
C4021829_T190	narrow nail
C4023418_T190	unicoronal synostosis|unilateral coronal suture craniosynostosis|unilateral coronal suture synostosis
C4020756_T019	unilateral coronal craniosynostosis
C4021164_T019	bicoronal synostosis|bilateral coronal craniosynostosis|bilateral coronal suture synostosis
C4280330_T033	coronal synostosis|coronal synostosis
C4021162_T190	unilambdoid synostosis|unilateral lambdoid craniosynostosis
C4021161_T033	multiple suture craniosynostosis|multisutural craniosynostosis
C4021827_T047	pansynostosis
C4023413_T033	anterior plagiocephaly|deformational frontal plagiocephaly|frontal plagiocephaly
C0432124_T019	unicoronal craniosynostosis
C4021160_T190	posterior plagiocephaly|deformational posterior plagiocephaly|occipital plagiocephaly
M00003485_T019;M00003485_T033	metopic synostosis
M00001535_T019	metopic craniosynostosis|Craniosynostosis, Metopic|metopic suture craniosynostosis
C0015458_T047	hemifacial atrophy|Atrophy, Hemifacial|atrophy of one side of the face|Facial Hemiatrophies|facial hemiatrophy|Facial-hemiatrophy|Hemifacial Atrophies|Hemifacial Atrophy, Progressive|hemifacial atrophy romberg|HFA|parry-romberg disease|Parry Romberg Disease|parry romberg syndrome|parry-romberg syndrome|Progressive Facial Hemiatrophy|progressive hemifacial atrophy|romberg disease|rombergs disease|Rombergs syndrome|Romberg syndrome
D00000537_T777	facial atrophy
C4023411_T047	hemifacial hypoplasia
M00002539_T047;M00002539_T019	hemifacial microsomia|HFM|microsomia hemifacial
D00000538_T777	facial microsomia
M00000125_T047;M00000125_T033	asymmetric crying face|ACF|asymmetric crying facies|cardiofacial syndrome|Cayler cardiofacial syndrome|cayler syndrome
C1839830_T033	hairy forehead|hirsute forehead
D00000539_T777	hairy head|hair forehead
C4023409_T033	bitemporal forceps marks
C4020754_T033	temporal skin defect
C3151495_T033	long upper lip
C4012968_T033	mild global developmental delay
C2229182_T033	psychomotor retardation, mild
C2237142_T033	moderate global developmental delay
C1837397_T033	severe global developmental delay|Global developmental delay, severe
C1854919_T033	severe psychomotor retardation|Psychomotor retardation, severe
C4023403_T047	arterial intimal fibrosis
C4020753_T047	intimal fibrosis
C0850826_T033	localized skin lesion
C0277960_T033	dry hair|hair dry
C0239804_T033	white hair|hairs white|hair white|HAIR, WHITE
M00005353_T047;M00005353_T184	yellow nails
C0494876_T046	epidermal thickening
D00000540_T777	dermal thickening
M00000799_T191	mongolian blue spot|blue nevus|mongolian spot|mongolian spots
C0266604_T019	labyrinthine aplasia|michel deformity
C4023392_T190	incomplete partition of the cochlea
C4023390_T033	cochlear aplasia
M00005261_T190;M00005261_T033	vestibular abnormality|VESTIBULAR ABNORMALITIES
